# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190515_0009.fits 30.2342282 -179.78003287 -358.36242947 "17:33:17.97 +79:32:15.96" "17:33:19.56 +79:38:58.83" 402.89352844310633 0.3980372052142229
m190515_0010.fits 30.23098057 -179.77998347 -357.8939999 "17:33:17.97 +79:32:15.96" "17:33:19.58 +79:38:58.64" 402.70246886093923 0.4059554259804372
m190515_0011.fits 30.23252948 -134.78006606 -309.67423043 "17:33:17.97 +79:32:15.96" "17:35:04.67 +79:36:56.29" 403.0423052902601 0.9285943891404713
m190515_0012.fits 30.21857488 -134.77994646 -308.84242806 "17:33:17.97 +79:32:15.96" "17:35:04.34 +79:36:56.64" 402.64050877794534 0.803490065704807
m190515_0013.fits 30.28751459 -89.78011476 -263.13491711 "17:33:17.97 +79:32:15.96" "17:35:46.00 +79:32:09.44" 403.3087978005524 1.0097793146440495
m190515_0014.fits 30.34665696 -44.78018196 -217.44030937 "17:33:17.97 +79:32:15.96" "17:35:00.87 +79:27:26.08" 403.9704930580233 0.8458022886059666
m190515_0015.fits 30.34968694 0.22005892 -171.69806275 "17:33:17.97 +79:32:15.96" "17:33:16.49 +79:25:32.39" 403.58340686775523 0.3498392112815054
m190515_0016.fits 30.28794119 45.22000347 -126.07168469 "17:33:17.97 +79:32:15.96" "17:31:32.82 +79:27:33.12" 403.2689882883755 0.028839766390092336
m190515_0017.fits 30.18801106 90.22001799 -80.51575074 "17:33:17.97 +79:32:15.96" "17:30:49.94 +79:32:17.68" 403.19767339225433 -0.2783954597941829
m190515_0018.fits 30.17766972 90.2200348 -80.18435559 "17:33:17.97 +79:32:15.96" "17:30:49.95 +79:32:17.80" 403.16035505641855 -0.26071717517226034
m190515_0019.fits 30.09068745 135.21991245 -34.71091637 "17:33:17.97 +79:32:15.96" "17:31:33.72 +79:37:02.64" 402.7522648632793 -0.052429486078153786
m190515_0020.fits 30.05689264 180.21994988 10.79396835 "17:33:17.97 +79:32:15.96" "17:33:19.56 +79:38:58.84" 402.90778357348825 0.39887000365507674
