# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# - name: Group
#   datatype: int
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle Group
m191017_0014.fits 39.92748542 -286.78003845 -360.0032433 "22:52:08.52 +10:32:32.02" "22:51:42.28 +10:30:37.71" 403.609832815 0.318002670132 1
m191017_0015.fits 38.96983658 -241.78002495 -315.12178406 "22:52:08.52 +10:32:32.02" "22:51:44.53 +10:35:44.92" 403.006706592 0.368053062075 1
m191017_0016.fits 38.30327004 -196.78010452 -270.17989716 "22:52:08.52 +10:32:32.02" "22:52:00.79 +10:38:59.64" 404.057811551 0.380381144956 1
m191017_0017.fits 37.81116888 -151.77991914 -225.1751593 "22:52:08.52 +10:32:32.02" "22:52:21.67 +10:38:26.05" 403.631929376 0.487742408796 1
m191017_0018.fits 37.17207296 -106.78001021 -180.13753113 "22:52:08.52 +10:32:32.02" "22:52:34.78 +10:34:26.09" 403.653202144 0.374511018308 1
m191017_0019.fits 36.57954243 -61.78005902 -135.09648403 "22:52:08.52 +10:32:32.02" "22:52:32.56 +10:29:18.71" 403.808559285 0.390911081112 1
m191017_0020.fits 35.81351119 -16.78005097 -90.09275326 "22:52:08.52 +10:32:32.02" "22:52:16.30 +10:26:04.95" 403.699735796 0.27805322773 1
m191017_0021.fits 35.22101081 28.22002158 -45.12855896 "22:52:08.52 +10:32:32.02" "22:51:55.46 +10:26:38.04" 403.056883528 0.344118725028 1
m191017_0022.fits 34.61346245 73.21976764 -0.19392762 "22:52:08.52 +10:32:32.02" "22:51:42.28 +10:30:37.74" 403.491618203 0.317631843073 1
m191017_0023.fits 25.19810135 33.21986783 44.27222553 "03:32:53.78 -44:15:23.46" "03:32:33.01 -44:20:58.92" 402.760851741 0.411884146657 2
m191017_0024.fits 25.24273345 -11.77999675 -1.28180012 "03:32:53.78 -44:15:23.46" "03:33:01.20 -44:21:59.27" 403.751198088 0.383593364073 2
m191017_0025.fits 25.34725123 -56.77993381 -46.81432232 "03:32:53.78 -44:15:23.46" "03:33:25.09 -44:19:06.03" 403.198745659 0.239150882132 2
m191017_0026.fits 25.49214872 -101.78001649 -92.34701332 "03:32:53.78 -44:15:23.46" "03:33:30.59 -44:14:02.79" 403.694910141 0.19993121562 2
m191017_0027.fits 25.63083512 -146.78020903 -137.90129933 "03:32:53.78 -44:15:23.46" "03:33:14.56 -44:09:46.42" 404.407641669 0.297605019313 2
m191017_0028.fits 25.73613287 -191.77995451 -183.66691193 "03:32:53.78 -44:15:23.46" "03:32:46.33 -44:08:47.49" 403.9895996 0.357903043546 2
m191017_0029.fits 25.77604298 -236.78007445 -229.52809128 "03:32:53.78 -44:15:23.46" "03:32:22.56 -44:11:39.40" 403.478034427 0.558449858368 2
m191017_0030.fits 25.74289241 -281.78006715 -275.10817799 "03:32:53.78 -44:15:23.46" "03:32:16.96 -44:16:42.48" 403.21707653 0.53263940747 2
m191017_0031.fits 25.70893618 -326.77998242 -320.64175305 "03:32:53.78 -44:15:23.46" "03:32:33.01 -44:20:59.11" 402.917039318 0.397708113922 2
m191017_0032.fits 25.72296941 -371.77976221 -366.16717705 "03:32:53.78 -44:15:23.46" "03:33:01.22 -44:21:59.21" 403.733043765 0.358236116274 2
m191017_0033.fits 45.00866439 -374.78004248 -360.37159714 "03:58:25.31 -23:51:42.65" "03:58:32.64 -23:58:13.27" 403.348100471 0.343028127808 3
m191017_0034.fits 45.16586915 -329.78010341 -316.17019734 "03:58:25.31 -23:51:42.65" "03:58:10.35 -23:57:29.71" 403.119107059 0.372194191177 3
m191017_0035.fits 45.35933792 -284.77983956 -271.91608891 "03:58:25.31 -23:51:42.65" "03:57:56.81 -23:53:22.61" 403.46455012 0.459809741874 3
m191017_0036.fits 45.54461826 -239.78004914 -227.57984909 "03:58:25.31 -23:51:42.65" "03:57:59.97 -23:48:17.07" 403.871947877 0.399589418624 3
m191017_0037.fits 45.68302269 -194.78006601 -183.21796879 "03:58:25.31 -23:51:42.65" "03:58:17.88 -23:45:10.30" 405.369813139 0.22280534049 3
m191017_0038.fits 45.74963879 -149.78014193 -138.83992371 "03:58:25.31 -23:51:42.65" "03:58:40.30 -23:45:54.72" 404.213420292 0.364703905654 3
m191017_0039.fits 45.79293554 -104.78014204 -94.74399552 "03:58:25.31 -23:51:42.65" "03:58:53.78 -23:50:01.71" 403.362552834 0.263839590499 3
m191017_0040.fits 45.79884262 -59.77999028 -50.51048931 "03:58:25.31 -23:51:42.65" "03:58:50.67 -23:55:07.80" 403.824275883 0.289885278821 3
m191017_0041.fits 45.83592528 -14.78008773 -6.29643235 "03:58:25.31 -23:51:42.65" "03:58:32.65 -23:58:13.11" 403.23067519 0.316364912653 3
m191017_0042.fits 45.93064477 30.22010186 37.91044345 "03:58:25.31 -23:51:42.65" "03:58:10.35 -23:57:29.49" 402.966327701 0.394676200777 3
m191017_0043.fits 65.08265467 27.21996643 45.02210537 "04:09:59.91 -03:47:23.00" "04:09:47.43 -03:53:20.32" 403.205660153 0.382573636624 4
m191017_0044.fits 65.21879587 -17.77996952 -1.01978764 "04:09:59.91 -03:47:23.00" "04:10:08.00 -03:53:47.89" 403.464690243 0.323858894987 4
m191017_0045.fits 65.46020021 -62.77994072 -47.46860394 "04:09:59.91 -03:47:23.00" "04:10:23.81 -03:50:29.88" 403.542102513 0.363330554213 4
m191017_0046.fits 65.73901634 -107.77990447 -94.14535508 "04:09:59.91 -03:47:23.00" "04:10:25.64 -03:45:22.39" 403.52131993 0.385172977476 4
m191017_0047.fits 65.94308628 -152.7800622 -140.48841652 "04:09:59.91 -03:47:23.00" "04:10:12.38 -03:41:25.07" 403.663331389 0.315975461287 4
m191017_0048.fits 66.11845196 -197.78007523 -187.38451943 "04:09:59.91 -03:47:23.00" "04:09:51.87 -03:40:57.18" 404.154369909 0.459134439165 4
m191017_0049.fits 66.17062539 -242.7802052 -233.81321701 "04:09:59.91 -03:47:23.00" "04:09:35.99 -03:44:16.02" 403.870319485 0.362179175184 4
m191017_0050.fits 66.19771548 -287.78007818 -280.63423523 "04:09:59.91 -03:47:23.00" "04:09:34.19 -03:49:23.79" 403.383613715 0.35922057003 4
m191017_0051.fits 66.21406991 -332.78011487 -327.36135182 "04:09:59.91 -03:47:23.00" "04:09:47.44 -03:53:20.30" 403.079397208 0.3533522965 4
m191017_0052.fits 66.26369165 -377.77987463 -374.02130875 "04:09:59.91 -03:47:23.00" "04:10:07.99 -03:53:47.76" 403.330710795 0.322767606913 4
m191017_0053.fits 75.09526587 -377.779818 -360.21255287 "04:25:30.13 +05:44:24.82" "04:25:38.24 +05:37:58.72" 404.601128645 0.38852526865 5
m191017_0054.fits 75.28079737 -332.78010084 -317.40513787 "04:25:30.13 +05:44:24.82" "04:25:17.62 +05:38:27.06" 403.606996952 0.353335523985 5
m191017_0055.fits 75.48674505 -287.77984577 -274.41514096 "04:25:30.13 +05:44:24.82" "04:25:04.36 +05:42:23.91" 403.291219773 0.327796053421 5
m191017_0056.fits 75.68189983 -242.78010541 -231.25663838 "04:25:30.13 +05:44:24.82" "04:25:06.17 +05:47:31.64" 403.539453636 0.352795616206 5
m191017_0057.fits 75.82103312 -197.77992792 -187.94220433 "04:25:30.13 +05:44:24.82" "04:25:22.07 +05:50:49.11" 402.687243141 0.394392812712 5
m191017_0058.fits 75.88629657 -152.78004633 -144.71446213 "04:25:30.13 +05:44:24.82" "04:25:42.68 +05:50:22.47" 403.702475155 0.417751650448 5
m191017_0059.fits 75.90519407 -107.7800328 -102.46839985 "04:25:30.13 +05:44:24.82" "04:25:55.95 +05:46:25.20" 403.647573825 0.433785940279 5
m191017_0060.fits 75.8743155 -62.77983617 -60.58466038 "04:25:30.13 +05:44:24.82" "04:25:54.09 +05:41:17.94" 403.489646966 0.375823593746 5
m191017_0061.fits 75.83280188 -17.78004976 -17.89938816 "04:25:30.13 +05:44:24.82" "04:25:38.25 +05:38:00.24" 403.209035516 0.297430019196 5
m191017_0062.fits 75.82935705 27.22009389 24.73782173 "04:25:30.13 +05:44:24.82" "04:25:17.62 +05:38:27.09" 403.588987511 0.355079836236 5
m191017_0063.fits 55.01929198 27.22007146 45.75507656 "05:16:18.59 -13:17:27.04" "05:16:05.80 -13:23:24.22" 402.987211043 0.36919032483 6
m191017_0064.fits 55.14594686 -17.78010328 0.04157749 "05:16:18.59 -13:17:27.04" "05:16:26.86 -13:23:51.75" 403.22172979 0.346194605443 6
m191017_0065.fits 55.32613703 -62.77988697 -45.63918862 "05:16:18.59 -13:17:27.04" "05:16:43.08 -13:20:33.61" 403.232152226 0.32809103013 6
m191017_0066.fits 55.55454248 -107.77986571 -91.4297522 "05:16:18.59 -13:17:27.04" "05:16:44.96 -13:15:26.03" 403.571837686 0.319272086748 6
m191017_0067.fits 55.77249532 -152.78013163 -137.31052956 "05:16:18.59 -13:17:27.04" "05:16:31.39 -13:11:29.10" 403.815127408 0.351683795125 6
m191017_0068.fits 55.93659937 -197.77989676 -183.2809771 "05:16:18.59 -13:17:27.04" "05:16:10.33 -13:11:01.61" 403.85057912 0.411980070878 6
m191017_0069.fits 56.02610384 -242.7800412 -229.25974449 "05:16:18.59 -13:17:27.04" "05:15:54.09 -13:14:19.71" 403.751353174 0.436167976327 6
m191017_0070.fits 56.06226511 -287.78007774 -275.1660479 "05:16:18.59 -13:17:27.04" "05:15:52.25 -13:19:27.22" 402.841127514 0.43606451191 6
m191017_0071.fits 56.09546401 -332.78008863 -320.97441849 "05:16:18.59 -13:17:27.04" "05:16:05.80 -13:23:24.32" 403.059652192 0.35906157317 6
m191017_0072.fits 56.1725349 -377.78009179 -366.72543415 "05:16:18.59 -13:17:27.04" "05:16:26.88 -13:23:51.62" 403.173682139 0.309225422572 6
m191017_0073.fits 35.07457311 -381.78015901 -360.01692185 "06:08:26.87 -31:56:49.52" "06:08:38.44 -32:03:04.54" 402.878004886 0.334895747479 7
m191017_0074.fits 35.2425515 -336.77992228 -315.53898129 "06:08:26.87 -31:56:49.52" "06:08:14.18 -32:02:58.78" 402.999327799 0.40679697559 7
m191017_0075.fits 35.47231748 -291.78010643 -271.10178742 "06:08:26.87 -31:56:49.52" "06:07:57.32 -31:59:16.18" 403.56979475 0.503681463792 7
m191017_0076.fits 35.70927537 -246.78003003 -226.66593823 "06:08:26.87 -31:56:49.52" "06:07:57.83 -31:54:07.44" 403.609757348 0.488195580837 7
m191017_0077.fits 35.89344531 -201.7799372 -182.18560013 "06:08:26.87 -31:56:49.52" "06:08:15.28 -31:50:33.16" 404.248882717 0.384932237231 7
m191017_0078.fits 36.01126585 -156.77999728 -137.71336445 "06:08:26.87 -31:56:49.52" "06:08:39.53 -31:50:39.21" 403.88798981 0.293924785388 7
m191017_0079.fits 36.07796861 -111.78003349 -93.27391896 "06:08:26.87 -31:56:49.52" "06:08:56.36 -31:54:21.80" 403.503513036 0.272533500571 7
m191017_0080.fits 36.13976511 -66.77988148 -48.88942799 "06:08:26.87 -31:56:49.52" "06:08:55.90 -31:59:30.67" 403.092165348 0.312035270015 7
m191017_0081.fits 36.23789299 -21.78004434 -4.53410515 "06:08:26.87 -31:56:49.52" "06:08:38.45 -32:03:04.74" 403.114106572 0.328255708285 7
m191017_0082.fits 36.39789491 23.21996396 39.80408016 "06:08:26.87 -31:56:49.52" "06:08:14.16 -32:02:58.55" 402.871776543 0.444744993344 7
m191017_0083.fits 29.98004209 23.21995066 46.43018642 "06:39:10.22 -36:38:12.28" "06:38:56.81 -36:44:21.53" 402.945766577 0.395871971183 8
m191017_0084.fits 30.10811169 -21.78005306 0.93789592 "06:39:10.22 -36:38:12.28" "06:39:22.48 -36:44:27.19" 402.869480068 0.295083958076 8
m191017_0085.fits 30.30241656 -66.78012217 -44.56557831 "06:39:10.22 -36:38:12.28" "06:39:40.92 -36:40:52.92" 402.829636003 0.243801921224 8
m191017_0086.fits 30.53845453 -111.77981239 -90.08666787 "06:39:10.22 -36:38:12.28" "06:39:41.37 -36:35:44.05" 403.188919341 0.17083697534 8
m191017_0087.fits 30.7747519 -156.78009159 -135.65827736 "06:39:10.22 -36:38:12.28" "06:39:23.60 -36:32:01.40" 404.344935963 0.238021983101 8
m191017_0088.fits 30.95897915 -201.78000845 -181.25612244 "06:39:10.22 -36:38:12.28" "06:38:57.99 -36:31:55.39" 404.684922064 0.436427481671 8
m191017_0089.fits 31.02325389 -246.78012287 -226.66884217 "06:39:10.22 -36:38:12.28" "06:38:39.51 -36:35:29.64" 404.028697006 0.555260826782 8
m191017_0090.fits 31.04677767 -291.78005265 -272.08493504 "06:39:10.22 -36:38:12.28" "06:38:38.99 -36:40:38.35" 403.227066099 0.579912896909 8
m191017_0091.fits 31.06203666 -336.78017934 -317.43160805 "06:39:10.22 -36:38:12.28" "06:38:56.80 -36:44:21.16" 402.660217062 0.433183815 8
m191017_0092.fits 31.12665324 -381.77998665 -362.76484284 "06:39:10.22 -36:38:12.28" "06:39:22.48 -36:44:27.01" 402.695988472 0.284656110744 8
m191017_0093.fits 19.99220541 -387.78009127 -360.72423538 "07:20:25.55 -45:37:40.86" "07:20:43.27 -45:43:38.82" 403.257065876 0.335017291563 9
m191017_0094.fits 20.13622342 -342.77995571 -316.08603176 "07:20:25.55 -45:37:40.86" "07:20:13.90 -45:44:05.16" 403.255299319 0.434591943232 9
m191017_0095.fits 20.33174405 -297.77999657 -271.45338139 "07:20:25.55 -45:37:40.86" "07:19:51.37 -45:40:46.12" 403.494091802 0.500085879683 9
m191017_0096.fits 20.74790714 -252.77993399 -227.49793228 "07:20:25.55 -45:37:40.86" "07:19:48.86 -45:35:37.79" 404.16895634 0.562544460513 9
m191017_0097.fits 20.89735957 -207.78006844 -182.83960709 "07:20:25.55 -45:37:40.86" "07:20:07.82 -45:31:41.53" 404.704905342 0.414839561559 9
m191017_0098.fits 20.97531052 -162.78004112 -138.16287979 "07:20:25.55 -45:37:40.86" "07:20:37.12 -45:31:15.32" 404.217124083 0.245872099233 9
m191017_0099.fits 21.00704236 -117.77994118 -93.50885186 "07:20:25.55 -45:37:40.86" "07:20:59.63 -45:34:34.05" 403.510710484 0.150777142972 9
m191017_0100.fits 21.03289939 -72.77993806 -48.87675652 "07:20:25.55 -45:37:40.86" "07:21:02.26 -45:39:42.31" 403.587391692 0.237944013878 9
m191017_0101.fits 21.10075052 -27.78027443 -4.26233944 "07:20:25.55 -45:37:40.86" "07:20:43.29 -45:43:38.44" 403.009782264 0.285034255735 9
m191017_0102.fits 21.2308227 17.2197777 40.35195175 "07:20:25.55 -45:37:40.86" "07:20:13.90 -45:44:05.06" 403.132803002 0.42829146296 9
m191017_0103.fits 70.0166762 27.21992781 44.68507686 "06:16:23.93 +00:56:06.19" "06:16:11.48 +00:50:08.49" 403.547939276 0.357008245913 10
m191017_0104.fits 70.10159616 -17.7798399 -1.14832482 "06:16:23.93 +00:56:06.19" "06:16:31.98 +00:49:40.66" 403.963429339 0.404165021412 10
m191017_0105.fits 70.24385479 -62.77998605 -46.96446881 "06:16:23.93 +00:56:06.19" "06:16:47.78 +00:52:59.14" 403.607574385 0.390010047042 10
m191017_0106.fits 70.42347394 -107.7801569 -92.89199528 "06:16:23.93 +00:56:06.19" "06:16:49.60 +00:58:06.71" 403.446055178 0.400601951031 10
m191017_0107.fits 70.6007684 -152.77981797 -139.08394894 "06:16:23.93 +00:56:06.19" "06:16:36.39 +01:02:03.73" 403.389224974 0.36483205511 10
m191017_0108.fits 70.71660628 -197.78012475 -185.38744816 "06:16:23.93 +00:56:06.19" "06:16:15.88 +01:02:30.93" 403.247560731 0.35410385035 10
m191017_0109.fits 70.76484193 -242.78013565 -231.79762635 "06:16:23.93 +00:56:06.19" "06:16:00.10 +00:59:12.85" 403.242730599 0.354176298084 10
m191017_0110.fits 70.75376976 -287.78013645 -277.95440087 "06:16:23.93 +00:56:06.19" "06:15:58.28 +00:54:05.34" 403.236362486 0.340183228302 10
m191017_0111.fits 70.76120626 -332.7798542 -324.24184975 "06:16:23.93 +00:56:06.19" "06:16:11.49 +00:50:08.60" 403.360694343 0.339150145882 10
m191017_0112.fits 70.79541393 -377.78013481 -370.08883271 "06:16:23.93 +00:56:06.19" "06:16:31.98 +00:49:40.98" 403.679222529 0.382982230556 10
m191017_0113.fits 79.94734631 -387.77994823 -360.49045262 "06:28:04.43 +11:04:52.51" "06:28:17.04 +10:58:54.37" 403.379051207 0.389582434384 11
m191017_0114.fits 80.17260255 -342.78011387 -318.12037358 "06:28:04.43 +11:04:52.51" "06:27:56.14 +10:58:27.69" 403.729798978 0.382480474937 11
m191017_0115.fits 80.42743786 -297.77985852 -275.64320931 "06:28:04.43 +11:04:52.51" "06:27:40.09 +11:01:47.13" 403.413842921 0.414248303189 11
m191017_0116.fits 80.65130442 -252.78015009 -232.62082848 "06:28:04.43 +11:04:52.51" "06:27:38.31 +11:06:54.83" 403.493677513 0.4169633017 11
m191017_0117.fits 80.84721413 -207.78017959 -189.78997025 "06:28:04.43 +11:04:52.51" "06:27:51.81 +11:10:51.29" 404.054276147 0.391781590933 11
m191017_0118.fits 80.94405536 -162.78019221 -146.55513844 "06:28:04.43 +11:04:52.51" "06:28:12.75 +11:11:17.30" 403.779035306 0.426056204166 11
m191017_0119.fits 80.97301793 -117.7802362 -103.48773655 "06:28:04.43 +11:04:52.51" "06:28:28.78 +11:07:57.92" 403.488267804 0.43341918269 11
m191017_0120.fits 80.98637165 -72.77990096 -61.17431721 "06:28:04.43 +11:04:52.51" "06:28:30.55 +11:02:50.50" 403.371042742 0.396650094347 11
m191017_0121.fits 81.00172424 -27.7799544 -18.87920269 "06:28:04.43 +11:04:52.51" "06:28:17.03 +10:58:54.35" 403.333128171 0.408780115721 11
m191017_0122.fits 81.0583623 17.21977161 23.23369327 "06:28:04.43 +11:04:52.51" "06:27:56.16 +10:58:28.35" 403.02362708 0.374505249018 11
