# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m191019_0016.fits 45.21378239 -140.78008351 -359.50110802 "23:16:14.54 +59:50:27.59" "23:16:49.70 +59:54:38.27" 364.55285109 7.40048799594
m191019_0017.fits 45.36530655 -95.77998337 -314.11694702 "23:16:14.54 +59:50:27.59" "23:17:02.91 +59:50:17.35" 364.671860148 7.47714576557
m191019_0018.fits 45.543152 -50.77993767 -268.71400914 "23:16:14.54 +59:50:27.59" "23:16:47.82 +59:46:01.97" 365.47526988 7.45808466974
m191019_0019.fits 45.70560822 -5.7800919 -223.2685307 "23:16:14.54 +59:50:27.59" "23:16:13.27 +59:44:22.46" 365.263659939 7.2871502096
m191019_0020.fits 45.8208402 39.21999823 -177.77208313 "23:16:14.54 +59:50:27.59" "23:15:39.45 +59:46:15.50" 365.55659345 7.1182732011
m191019_0021.fits 45.87329764 84.22013752 -132.29379162 "23:16:14.54 +59:50:27.59" "23:15:26.11 +59:50:36.35" 365.04259732 7.06672847678
m191019_0022.fits 45.89163706 129.22017033 -86.86514172 "23:16:14.54 +59:50:27.59" "23:15:41.11 +59:54:52.14" 365.123132046 7.15081081998
m191019_0023.fits 45.92464431 174.22002788 -41.48350129 "23:16:14.54 +59:50:27.59" "23:16:15.81 +59:56:32.34" 364.868371258 7.27890719425
m191019_0024.fits 46.0138271 219.22020195 3.90154377 "23:16:14.54 +59:50:27.59" "23:16:49.70 +59:54:38.38" 364.593342944 7.38236343325
m191019_0025.fits 46.16191059 264.21998769 49.30357471 "23:16:14.54 +59:50:27.59" "23:17:02.93 +59:50:17.24" 364.820148661 7.4926991857
m191019_0026.fits 46.28894418 219.21991309 5.15424553 "23:16:14.54 +59:50:27.59" "23:16:49.72 +59:54:38.33" 364.669955543 7.40464971452
m191019_0028.fits 46.61322522 174.22014744 -38.25990948 "23:16:14.54 +59:50:27.59" "23:16:15.80 +59:56:32.06" 364.590021665 7.26612771718
m191019_0029.fits 46.78313407 129.2200636 -82.6621674 "23:16:14.54 +59:50:27.59" "23:15:41.15 +59:54:52.39" 365.115540571 7.20773171336
m191019_0030.fits 46.9614462 84.21995149 -127.15865025 "23:16:14.54 +59:50:27.59" "23:15:26.07 +59:50:36.11" 365.363452046 7.02920186295
m191019_0031.fits 47.11133297 39.21995705 -171.69380841 "23:16:14.54 +59:50:27.59" "23:15:39.46 +59:46:15.69" 365.385259616 7.13225417219
m191019_0032.fits 47.1954591 -5.7799667 -216.29553112 "23:16:14.54 +59:50:27.59" "23:16:13.23 +59:44:22.05" 365.673217825 7.33466683068
m191019_0033.fits 47.23507002 -50.78005295 -260.82513031 "23:16:14.54 +59:50:27.59" "23:16:47.82 +59:46:01.72" 365.66064837 7.48375951067
m191019_0034.fits 47.24726865 -95.77993462 -305.33170685 "23:16:14.54 +59:50:27.59" "23:17:02.90 +59:50:17.04" 364.586171898 7.52569218458
m191019_0035.fits 47.28439928 -140.7798438 -349.78964028 "23:16:14.54 +59:50:27.59" "23:16:49.71 +59:54:38.41" 364.690115963 7.38990776152
m191019_0036.fits 47.51401186 -95.78006925 -303.84337982 "23:16:14.54 +59:50:27.59" "23:17:02.94 +59:50:17.22" 364.88108307 7.4955380053
m191019_0037.fits 47.67716817 -50.78017625 -258.35043988 "23:16:14.54 +59:50:27.59" "23:16:47.78 +59:46:02.36" 364.982036673 7.45083496722
m191019_0038.fits 47.81101175 -5.77991243 -212.83703217 "23:16:14.54 +59:50:27.59" "23:16:13.23 +59:44:22.01" 365.713516597 7.3242792765
m191019_0039.fits 47.89205621 39.22019142 -167.27401146 "23:16:14.54 +59:50:27.59" "23:15:39.46 +59:46:15.55" 365.458953358 7.11247432806
m191019_0040.fits 47.93296487 84.2199724 -121.61648545 "23:16:14.54 +59:50:27.59" "23:15:26.10 +59:50:36.32" 365.185308528 7.06200707808
m191019_0041.fits 47.92995979 129.21997685 -76.1419104 "23:16:14.54 +59:50:27.59" "23:15:41.05 +59:54:51.45" 364.927846064 7.02465447511
m191019_0042.fits 47.9456545 174.22003847 -30.74159893 "23:16:14.54 +59:50:27.59" "23:16:15.82 +59:56:32.22" 364.752203292 7.28880857445
m191019_0043.fits 48.01590919 219.21998233 14.63571277 "23:16:14.54 +59:50:27.59" "23:16:49.64 +59:54:38.43" 364.304067464 7.32783384691
m191019_0044.fits 48.15258095 264.22002837 60.12059894 "23:16:14.54 +59:50:27.59" "23:17:02.93 +59:50:17.24" 364.791859602 7.4933036684
m191019_0045.fits 48.68191443 -205.78001644 -405.3689793 "23:16:14.54 +59:50:27.59" "23:15:59.15 +59:56:13.68" 364.954858367 7.2473699957
m191019_0046.fits 48.7295906 -160.7798998 -359.88015637 "23:16:14.54 +59:50:27.59" "23:16:36.18 +59:55:53.96" 364.731383765 7.3330804429
m191019_0047.fits 48.82774996 -115.78002907 -314.4471949 "23:16:14.54 +59:50:27.59" "23:17:00.48 +59:52:22.35" 364.589231407 7.51726526808
m191019_0048.fits 48.95728741 -70.78013202 -268.97882256 "23:16:14.54 +59:50:27.59" "23:16:57.85 +59:47:44.12" 365.230388582 7.4468584869
m191019_0049.fits 49.07471319 -25.77980604 -223.45631966 "23:16:14.54 +59:50:27.59" "23:16:29.84 +59:44:41.21" 365.125572958 7.36945462435
m191019_0050.fits 49.14107025 19.22001318 -177.88921055 "23:16:14.54 +59:50:27.59" "23:15:53.01 +59:45:00.27" 365.443376304 7.14356353217
m191019_0051.fits 49.15213855 64.22011111 -132.27953801 "23:16:14.54 +59:50:27.59" "23:15:28.64 +59:48:30.91" 365.221847967 7.06495905188
m191019_0052.fits 49.12436939 109.22008176 -86.75718102 "23:16:14.54 +59:50:27.59" "23:15:31.12 +59:53:09.73" 365.024277955 7.07285462309
m191019_0053.fits 49.10448245 154.22002319 -41.33515152 "23:16:14.54 +59:50:27.59" "23:15:59.13 +59:56:13.54" 364.885656986 7.21384593585
m191019_0054.fits 49.13554012 199.2199964 4.0678722 "23:16:14.54 +59:50:27.59" "23:16:36.22 +59:55:54.18" 365.079836641 7.36555387019
m191019_0055.fits 49.22191699 244.22005459 49.46176639 "23:16:14.54 +59:50:27.59" "23:17:00.48 +59:52:22.48" 364.590545429 7.49489921365
m191019_0056.fits 49.22860426 199.21999968 5.13449875 "23:16:14.54 +59:50:27.59" "23:16:36.17 +59:55:54.15" 364.857614856 7.30832088638
m191019_0057.fits 49.28068862 154.22032823 -39.28078541 "23:16:14.54 +59:50:27.59" "23:15:59.05 +59:56:12.97" 364.521830437 7.10175535096
m191019_0058.fits 49.38113033 109.21996324 -83.73358902 "23:16:14.54 +59:50:27.59" "23:15:31.11 +59:53:10.00" 365.169149195 7.10842819435
